open,high,low,close,volume,ma_vol_5,ma_vol_20,ma_close_5,ma_close_20,vol_std_5,vol_std_20,rsi,boll_mid,boll_top,boll_bot,rsv,k,d,j,vol_multiplier_5,vol_multiplier_20,vo_count_5,vo_count_20,is_3_up,is_3_down,ma_count_buy_5,ma_count_sell_5,ma_count_buy_20,ma_count_sell_20,buy_signal_5,sell_signal_5,buy_signal_20,sell_signal_20,buy_signal_count,sell_signal_count
676.25,678.1,664.27,665.65,16074419.0,21788496.6,32696607.4,662.518,620.5735,4627597.825551121,9839115.600650862,65.76440471655516,620.5735,706.7671724533766,534.3798275466233,119.33753207343275,125.4974344963904,119.43530481999302,137.62169384918516,1.112387201857292,1.1009216057275368,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
673.95,676.71,666.11,669.34,11554788.0,18387699.2,32180314.6,665.468,627.5105,4650555.13873776,10632084.024839308,62.81507817089229,627.5105,705.5710499532252,549.4499500467748,242.80655157041795,157.99017856932346,135.29108669785356,203.38836231226327,1.1529166421613946,1.130390928646773,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
686.39,696.53,679.48,688.24,18359347.0,18375730.0,31871974.15,670.078,635.116,4650535.693256511,10934705.618097443,65.36322336818449,635.116,705.3271829839091,564.9048170160909,227.18536887716306,196.44315084033792,159.97692130201725,269.3756099169793,1.1530803235167535,1.1430821563369473,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
690.08,690.08,677.18,684.55,11130334.0,15473185.0,30442605.35,674.0419999999999,640.993,3624783.198722762,11660089.838515148,63.14720373373493,640.993,706.966572921284,575.0194270787161,178.796844180872,216.26292154281768,190.23208365082635,268.3245973268003,1.1342622542626333,1.1830187891101491,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
689.62,693.31,669.8,673.49,25578810.0,16539539.6,30058591.8,676.254,645.6025000000001,5279085.133746742,11687447.417705994,44.26637352428854,645.6025000000001,706.9709162660237,584.2340837339765,119.00486344886284,174.99569216896597,195.90058818404054,133.1859001388168,1.2191796906938537,1.1888221875286251,9039270.4,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
669.8,690.08,660.12,685.01,17395912.0,16803838.2,29111246.2,680.126,650.235,5282262.148206144,11905526.352265729,62.829205623524665,650.235,708.7489277437428,591.7210722562572,130.55137089445486,142.78435950806323,178.01432440661563,72.32442971095844,1.214348548548042,1.2089665646902374,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
693.77,701.6,673.49,675.79,26296908.0,19752262.2,28781473.0,681.4159999999999,654.4984999999999,5632251.642434469,11887555.960771885,65.8611402058042,654.4984999999999,707.1160386254426,601.8809613745573,82.23240115698593,110.59621183343454,142.79208783682125,46.20445982666109,1.1851446373790275,1.2130280601264531,6544645.800000001,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
675.33,675.79,655.97,669.8,24504450.0,20981282.8,28042529.5,677.728,657.333,5860066.7363859415,11669111.191125354,72.90269151054186,657.333,706.7363744191623,607.9296255808376,30.309007232017578,81.03092642781945,111.47049925643908,20.15178077058019,1.179299735495007,1.2161219190702948,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
677.64,677.64,642.14,644.45,29610430.0,24677302.0,28017682.15,669.708,658.762,4020450.4792296113,11665216.433441222,60.12771216640908,658.762,704.8259067383557,612.6980932616442,3.8849646821328165,38.80879102371211,76.81197642832204,-37.19757978550774,1.062920990278014,1.2163519441397197,4933128.0,0.0,0,1,25.257999999999925,0.0,14.311999999999898,0.0,-124600947.02399963,0.0,0.0,0.0,1,0
629.24,652.28,629.24,638.46,29217132.0,25404966.4,27833511.95,662.702,659.4995000000001,4426510.423333199,11615643.619170198,48.13375435132873,659.4995000000001,703.730864200078,615.2681357999222,19.04958677682021,17.7478528969902,45.86252344950725,-38.4814882080439,1.0742379955807853,1.2173258351312795,3812165.6000000015,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
640.76,646.29,613.57,620.02,45110771.0,30947938.2,27541882.55,649.704,655.8349999999999,7328315.949966034,11093243.955712218,36.74768074789966,655.8349999999999,700.3972658759621,611.2727341240377,10.067114093943923,11.000555184298983,22.519066368333764,-12.036467183770576,1.1367949652286056,1.2027772588011496,14162832.8,17568888.45,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
632.0,647.68,624.17,624.17,26043520.0,30897260.6,26133843.2,639.38,654.5905,7361106.821342878,9254485.252501162,33.45700919465363,654.5905,701.1840053306784,607.9969946693217,27.38310514071957,18.83326867049457,15.860558917261251,24.778688176961204,1.1382446430005797,1.1541188022625453,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
603.43,619.56,597.43,597.43,40220085.0,34040387.6,26117089.75,624.906,652.7925,7315466.614115893,9228630.275049929,27.6054838277742,652.7925,704.9614163678905,600.6235836321096,0.0,12.483406411554498,14.105743422116015,9.238732390431462,1.1149055028420385,1.1533559965290516,6179697.3999999985,14102995.25,0,1,27.476,0.0,55.36250000000007,0.0,-169793365.76239994,0.0,-780777074.528126,0.0,2,0
624.63,629.24,612.65,629.24,29374496.0,33993200.8,25563272.6,621.864,653.53,7344591.83380401,8667099.844452998,40.76876008200995,653.53,703.8981244439373,603.1618755560627,63.30348258693882,30.22886257588613,20.515179219311733,49.656229289034926,1.1160606139155926,1.1390450033558301,0.0,3811223.3999999985,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
643.07,652.28,625.09,630.16,25036467.0,33157067.8,24972371.55,620.204,654.2905,8045269.432892685,8270958.506084757,40.00112695071842,654.2905,702.7279092928178,605.8530907071821,59.67183226971802,40.991771618885615,27.901346868775416,67.172621119106,1.142641161197393,1.1312043667748792,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
630.16,653.21,622.79,653.21,19835316.0,28101976.8,24410562.45,626.842,654.7975,6788816.199822985,8219040.391558359,45.902555504423795,654.7975,702.9660373973505,606.6289626026495,137.52465483200808,86.83332322955498,52.68465247477557,155.1306647391138,1.1415778878524654,1.1367001644633699,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
633.85,640.76,622.79,622.79,26574239.0,28208120.6,24311335.65,626.566,653.2075,6759889.538026273,8180248.800793389,34.293256539246414,653.2075,703.357106130058,603.057893869942,83.36620644285532,93.5208978481938,73.7819975655448,132.9986984134918,1.1396433861682467,1.136478789917632,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
602.97,627.39,601.58,612.65,29437443.0,26051592.2,24862248.15,629.61,650.5804999999999,3534159.1347257392,8135781.919275748,33.263500930881904,650.5804999999999,703.3786493899166,597.7823506100832,29.478985086133157,83.45661545366552,87.93694551047143,74.49595534005371,1.035660005253949,1.1272343623227712,3385850.8000000007,4575194.8500000015,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
616.79,621.86,577.61,579.0,39304644.0,28037621.8,25545327.4,619.562,646.294,6439433.646476605,8724849.958106134,30.09815072226238,646.294,707.1122552857279,585.4757447142721,2.2011084718888134,38.348766666959094,71.7754266562728,-28.504553311668317,1.1296711786902198,1.1415438691189426,11267022.2,13759316.600000001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
569.32,599.28,551.8,580.38,42094891.0,31449306.6,26637720.1,609.606,642.1915,8218679.331764018,9339191.276006553,26.979097909624787,642.1915,708.8877902341651,575.4952097658349,37.80923402561479,23.163109194545587,48.32283043839007,-27.156333293143376,1.1613310187183592,1.1506002481048125,10645584.399999999,15457170.899999999,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
604.35,604.35,587.76,593.75,25227028.0,32527649.0,27095350.55,597.7139999999999,638.5965,6866604.859066321,9029474.190929214,32.27312013809344,638.5965,707.559929228831,569.633070771169,59.87724807299476,33.295863523499456,31.60257979500138,36.6824309804956,1.111100558145666,1.1332481037389353,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
