date,open,high,low,close,volume,amount,stock_code,stock_name,market
2022-05-10,303.51,316.23,301.61,312.24,29900380,9625533995.0,HK.00700,腾讯控股,HK
2022-05-11,310.73,332.0,310.73,320.98,25636286,8581870600.0,HK.00700,腾讯控股,HK
2022-05-12,313.76,322.69,312.81,315.09,21081652,6926588849.0,HK.00700,腾讯控股,HK
2022-05-13,320.6,327.44,320.6,324.78,20518025,6902170419.0,HK.00700,腾讯控股,HK
2022-05-16,330.1,332.38,317.94,320.6,16380687,5485265300.0,HK.00700,腾讯控股,HK
2022-05-17,324.78,339.03,324.78,338.08,31709555,10958899113.0,HK.00700,腾讯控股,HK
2022-05-18,344.54,344.54,328.2,335.42,29842287,10299307581.0,HK.00700,腾讯控股,HK
2022-05-19,313.0,314.52,305.41,312.81,63330069,20388186584.0,HK.00700,腾讯控股,HK
2022-05-20,320.22,326.68,318.32,324.21,29823439,9918517452.0,HK.00700,腾讯控股,HK
2022-05-23,321.74,322.69,314.52,319.08,17935417,5897417610.0,HK.00700,腾讯控股,HK
2022-05-24,315.28,319.84,309.21,310.73,20741638,6706153712.0,HK.00700,腾讯控股,HK
2022-05-25,307.69,312.43,306.93,306.93,22692879,7245483918.0,HK.00700,腾讯控股,HK
2022-05-26,307.88,308.64,303.13,307.12,19474406,6153040768.0,HK.00700,腾讯控股,HK
2022-05-27,317.94,320.03,310.92,314.33,21858583,7116127406.0,HK.00700,腾讯控股,HK
2022-05-30,318.13,323.26,316.8,322.12,23477452,7773740796.0,HK.00700,腾讯控股,HK
2022-05-31,321.17,334.47,318.7,333.9,68180768,23316293289.0,HK.00700,腾讯控股,HK
2022-06-01,333.52,337.51,329.53,332.0,28343739,9728483572.0,HK.00700,腾讯控股,HK
2022-06-02,326.87,332.19,325.73,330.67,14932417,5066372935.0,HK.00700,腾讯控股,HK
2022-06-06,333.52,340.55,327.82,338.84,25163891,8641627925.0,HK.00700,腾讯控股,HK
2022-06-07,343.02,345.68,334.47,338.84,28519269,10014602784.0,HK.00700,腾讯控股,HK
2022-06-08,345.87,361.44,344.16,361.44,49987353,18251431120.0,HK.00700,腾讯控股,HK
2022-06-09,373.41,376.07,359.16,364.67,41217088,15534387000.0,HK.00700,腾讯控股,HK
2022-06-10,354.79,367.9,353.47,366.19,31329165,11715111840.0,HK.00700,腾讯控股,HK
2022-06-13,354.03,357.07,344.54,347.77,26256663,9469439263.0,HK.00700,腾讯控股,HK
2022-06-14,338.65,349.1,338.65,346.82,17169967,6080672023.0,HK.00700,腾讯控股,HK
2022-06-15,346.82,352.71,346.06,350.43,22365930,8037916132.0,HK.00700,腾讯控股,HK
2022-06-16,350.62,352.9,335.42,338.84,23314602,8202777815.0,HK.00700,腾讯控股,HK
2022-06-17,333.33,345.49,333.33,340.55,20513216,7202701520.0,HK.00700,腾讯控股,HK
2022-06-20,341.12,344.92,335.99,341.88,12255167,4295087327.0,HK.00700,腾讯控股,HK
2022-06-21,342.83,351.57,341.31,351.57,15807135,5676243706.0,HK.00700,腾讯控股,HK
2022-06-22,351.38,351.38,341.12,341.12,14439301,5146621248.0,HK.00700,腾讯控股,HK
2022-06-23,342.83,350.05,340.17,345.87,13288128,4731541678.0,HK.00700,腾讯控股,HK
2022-06-24,350.05,356.31,345.11,354.6,19160088,6940912420.0,HK.00700,腾讯控股,HK
2022-06-27,357.26,369.8,345.49,348.91,60436183,22098932703.0,HK.00700,腾讯控股,HK
2022-06-28,343.78,344.35,328.2,337.13,61682883,21280735497.0,HK.00700,腾讯控股,HK
2022-06-29,331.62,341.5,328.01,336.37,36825205,12740401126.0,HK.00700,腾讯控股,HK
